id;descripcio;nogis;uso;nivel;N_patente;Nombre_com;Id_persona;Aprobacion;Categoria;Actividad;Permiso_sa;Vigencia_p;Tipo_rotul;Dimension;Rotulo;Provincia;Lic_licor;Codigo_act;Nogis_1;N_finca;F_real;Derecho;Direccion_;Filial;N_plano_ca;Tipo_perso;Distrito;Canton;Este;Norte;Lat;longitud
1406;CONDOMINIO PLAZA SANTA ANA EXPRESS;128004002;COMERCIAL;0;471;FARMACIA FISCHEL;107362;1/1/1900 00:00;COM;FARMACIA;471;;;0;1;1;0;389;128004002;56951;;0;SANTA ANA CENTRO, COSTADO ESTE DE LA CRUZ ROJA, COND. PLAZA EXPRESS, FILIAL # 2;F;1-1127084-2007;J;SANTA ANA;SANTA ANA;479384.979999999000000;1098401.909999990000000;9.933560000000000;-84.188010000000000
1628;PREDIO ORDINARIO;127037000;;0;299;CENTRO DE PINTURAS MACHO;109990;1/1/1900 00:00;COM;PINTURAS;299;;;0;1;1;0;717;127037000;314937;;0;SANTA ANA, CENTRO, DEL BANCO POPULAR 250 OESTE.;;1-648929-1986;J;SANTA ANA;SANTA ANA;479913.219999999000000;1098240.939999990000000;9.932110000000000;-84.183189999999900
32909;PREDIO ORDINARIO;312050000;;0;420;BODEGA DISER S. A.;15790;1/1/1900 00:00;COM;BODEGAS;420;;;0;1;1;0;119;312050000;265612;;0;DE LA IGLESIA 172 NORTE Y 171 OESTE.;;1-392221-1980;J;POZOS;SANTA ANA;479045.440000000000000;1100347.760000000000000;9.951150000000000;-84.191109999999900
2119;PREDIO ORDINARIO;533040000;;0;580;PEQUE´?¢´?¢´?¢OS EN ACCION;3415;1/9/2004 00:00;COM;KINDER PRIVADO;;7/11/2017 00:00;;0;1;1;0;453;533040000;225256;;0;URUCA, DE LA CRUZ ROJA 125 OESTE Y 300 SUR.;;1-848985-1989;F;URUCA;SANTA ANA;479172.539999999000000;1098102.540000000000000;9.930850000000000;-84.189940000000000
2233;PREDIO ORDINARIO;529238000;;0;196;PANADERIA RIO ORO;20884;23/10/2006 00:00;COM;PANADERIA Y REPOSTERIA;196;23/9/2020 00:00;;0;0;1;0;702;529238000;410528;;1;URUCA, COSTADO OESTE DEL ABASTECEDOR RIO ORO.;;1-663355-1986;F;URUCA;SANTA ANA;477985.219999999000000;1098289.479999990000000;9.932530000000000;-84.200770000000000
2299;PREDIO ORDINARIO;529112000;;0;686;LABORATORIO HERRERA;15965;1/1/1900 00:00;COM;PERFUMERIA;686;;;0;1;1;0;715;529112000;115092;;0;DE LA PULPERIA LA MINA DE ORO 57 OESTE.;;1-353312-1979;J;URUCA;SANTA ANA;477726.659999999000000;1098113.560000000000000;9.930940000000000;-84.203130000000000
2348;PREDIO ORDINARIO;124146000;;0;692;BARBERIA  MODESTO;7482;1/1/1900 00:00;COM;BARBERIA;692;;;0;0;1;0;107;124146000;618585;;0;SANTA ANA, CENTRO, DE LA MUNICIPALIDAD 200 SUR. NOTA: REUNION FINCAS: 078259-000 (124-146-000) Y 110757-000 (124-147-000);;1-1470785-2011;F;SANTA ANA;SANTA ANA;480147.440000000000000;1098109.520000000000000;9.930920000000000;-84.181049999999900
2350;PREDIO ORDINARIO;124153000;;0;569;MINISUPER MAGU;9149;12/8/2005 00:00;COM;MINISUPER;139-05;29/6/2010 00:00;;0;1;1;278;0;124153000;90928;;0;SANTA ANA, CENTRO, DE RICESA 75 ESTE.;;1-21889-1975;F;SANTA ANA;SANTA ANA;480202.210000000000000;1098107.219999990000000;9.930899999999990;-84.180549999999900
2336;PREDIO ORDINARIO;529028000;;0;627;ILPPAL;7597;2/2/1993 00:00;COM;COLEGIO;627;;;0;1;1;0;227;529028000;123170;;1;PIEDADES, DE LA ENTRADA A CALLE CEBADILLA 75 ESTE.;;1-4064-1971;J;PIEDADES;SANTA ANA;477734.880000000000000;1098048.699999990000000;9.930360000000000;-84.203050000000000
2398;PREDIO ORDINARIO;124166000;;0;476;COOPEBELEMITA;112688;1/1/1900 00:00;COM;MINISUPER;476;;;0;1;1;476;0;124166000;115567;;0;SANTA ANA, CENTRO, DE RICESA 100 SUR.;;1-9954-1971;J;SANTA ANA;SANTA ANA;480150.820000000000000;1098051.320000000000000;9.930389999999990;-84.181020000000000
